frame_number,timestamp_ms,landmark_name,visible,x,y,z
30,1000,pose_RIGHT_SHOULDER,0.99995,0.43098,0.32147,-0.14836
30,1000,pose_LEFT_ELBOW,0.10548,0.45442,0.44008,0.1991
30,1000,pose_RIGHT_ELBOW,0.96993,0.46763,0.43542,-0.18594
30,1000,pose_LEFT_WRIST,0.18887,0.48709,0.48458,0.16707
30,1000,pose_RIGHT_WRIST,0.92058,0.5236,0.4381,-0.13977
30,1000,pose_LEFT_PINKY,0.20368,0.4968,0.49792,0.16345
30,1000,pose_RIGHT_PINKY,0.90336,0.54016,0.44443,-0.15581
30,1000,pose_LEFT_INDEX,0.21034,0.49893,0.48915,0.14314
30,1000,pose_RIGHT_INDEX,0.90056,0.5379,0.42904,-0.14848
30,1000,pose_LEFT_THUMB,0.20774,0.49475,0.48489,0.15347
30,1000,pose_RIGHT_THUMB,0.85334,0.5319,0.42465,-0.13393
30,1000,pose_LEFT_HIP,0.99962,0.48037,0.54645,0.10176
30,1000,pose_RIGHT_HIP,0.99938,0.47857,0.5269,-0.10181
30,1000,pose_LEFT_KNEE,0.81234,0.50891,0.68987,0.07823
30,1000,pose_RIGHT_KNEE,0.98148,0.5514,0.4081,-0.04287
30,1000,pose_LEFT_ANKLE,0.92694,0.47976,0.84918,0.09671
30,1000,pose_RIGHT_ANKLE,0.9678,0.58802,0.54631,0.06633
30,1000,pose_LEFT_HEEL,0.93006,0.46352,0.87215,0.09813
30,1000,pose_RIGHT_HEEL,0.92219,0.58352,0.58172,0.07585
30,1000,pose_LEFT_FOOT_INDEX,0.94741,0.50289,0.88801,0.06666
30,1000,pose_RIGHT_FOOT_INDEX,0.96399,0.62271,0.55174,0.07077
32,1066,pose_LEFT_SHOULDER,0.99934,0.43654,0.34305,0.15782
32,1066,pose_RIGHT_SHOULDER,0.99995,0.43858,0.32998,-0.14675
32,1066,pose_LEFT_ELBOW,0.08797,0.45999,0.45413,0.16993
32,1066,pose_RIGHT_ELBOW,0.92336,0.47679,0.4443,-0.18694
